brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Coastal Bloom,Effortless Impact Italian Dress- Pink,dress,One Size Made in Italy Fit One Size - up to size 10 Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/effortless-impact-italian-dress-pink,2026-04-24T03:20:42.063892,live
Coastal Bloom,Bohemian Lace Denim Pants,pants,"ue Size: XS, S, M, L Inseam: 27"" Fit: Standard Fit: Fabric: 64% Cotton, 32% Polyester, 3% Viscose, 1% Elastane Shipping Orders are","{""cotton"": 64.0, ""polyester"": 32.0, ""viscose"": 3.0, ""elastane"": 1.0}",cotton,67.0,medium,international,GLOBAL,https://coastalbloom.com/products/bohemian-lace-denim-pants?variant=42314768023627,2026-04-24T03:20:42.740651,live
Coastal Bloom,Olive & Lemon St Tropez Short Sleeve Sweater,knitwear,"e use in making these knits. Fit: One Size up to 14 Fabric: 65% polyester, 35% viscose Shipping Orders are typically fulfilled and sh","{""polyester"": 65.0, ""viscose"": 35.0}",polyester,35.0,low,international,GLOBAL,https://coastalbloom.com/products/olive-lemon-st-tropez-short-sleeve-sweater,2026-04-24T03:20:43.556891,live
Coastal Bloom,Blush Garden Italian Button Dress- Light Blue,dress,Color: Light Blue Size: One Size Made in Italy Size Fabric 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/blush-garden-italian-button-dress,2026-04-24T03:20:45.510700,live
Coastal Bloom,Pretty Petals Linen Italian Button Dress- Beige,dress,etail Color: Beige Size: One Size Made in Italy Size Fabric 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/pretty-petals-linen-italian-button-dress-beige,2026-04-24T03:20:46.486741,live
Coastal Bloom,Looks Good Italian Button Top- White,top,ion: White One Size Made in Italy Fit Up to size 14 Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/looks-good-italian-button-top-white,2026-04-24T03:20:47.212133,live
Coastal Bloom,Relaxed Leopard Italian Linen Top - Blue,top,r: Blue Made in Italy Size : One Size Fit: One Size Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/relaxed-leopard-drawstring-italian-line-top-blue,2026-04-24T03:20:47.878041,live
Coastal Bloom,Camo V-Neck Italian Top,top,Size Made in Italy Fit One Size - up to size 10/12 Fabric: 100% Viscose Shipping Orders are typically fulfilled and shipped within,"{""viscose"": 100.0}",viscose,100.0,high,international,GLOBAL,https://coastalbloom.com/products/camo-v-neck-italian-top,2026-04-24T03:20:48.637644,live
Coastal Bloom,Blush Garden Italian Button Dress- White,dress,etail Color: White Size: One Size Made in Italy Size Fabric 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/blush-garden-italian-button-dress-white,2026-04-24T03:20:49.909482,live
Coastal Bloom,The Floral Mosaic St Tropez Italian Knit Sweater,knitwear,"e use in making these knits. Fit: One Size up to 14 Fabric: 62% polyester, 33% viscose, 5% elastane Shipping Orders are typically ful","{""polyester"": 62.0, ""viscose"": 33.0, ""elastane"": 5.0}",polyester,33.0,low,international,GLOBAL,https://coastalbloom.com/products/the-floral-mosaic-st-tropez-italian-knit-sweater,2026-04-24T03:20:52.925801,live
Coastal Bloom,Rainbow Love Patch Denim Pants,pants,"ue Size: S, M, L, XL Inseam: 25"" Fit: Standard Fit: Fabric: 84% Cotton, 15% Polyester, 1% Elastane Shipping Orders are typically f","{""cotton"": 84.0, ""polyester"": 15.0, ""elastane"": 1.0}",cotton,84.0,medium,international,GLOBAL,https://coastalbloom.com/products/rainbow-love-patch-denim-pants?variant=42314466689099,2026-04-24T03:20:54.306957,live
Coastal Bloom,Effortless Impact Italian Dress- Olive,dress,One Size Made in Italy Fit One Size - up to size 10 Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/effortless-impact-italian-dress-olive,2026-04-24T03:20:59.162277,live
Coastal Bloom,Positano Breeze Buffy Italian Linen Skirt- Navy,skirt,roduct Description: Navy One Size Made in Italy Fit Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/positano-breeze-italian-skirt,2026-04-24T03:21:01.143412,live
Coastal Bloom,Limoncello Linen Italian Button Dress- White,dress,Made in Italy Size One Size - Fits up to Size 10/12 Fabric 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/limoncello-linen-italian-button-dress-white,2026-04-24T03:21:02.793821,live
Coastal Bloom,Flowy Linen Italian Skirt- Navy,skirt,roduct Description: Navy One Size Made in Italy Fit Fabric: 100% Linen Shipping Orders are typically fulfilled and shipped within,"{""linen"": 100.0}",linen,100.0,high,international,GLOBAL,https://coastalbloom.com/products/flowy-linen-italian-skirt,2026-04-24T03:21:05.130941,live
